EmpID,StartDate,ExitDate,Total Employment Time,DOB,Age at Termination Date,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,DepartmentType,Division,State,JobFunctionDescription,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3427,2019-09-20,,Active,1969-10-07,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Active,Production       ,Finance & Accounting,MA,Accounting,Female,White,Widowed,Fully Meets,4
3428,2023-02-11,,Active,1965-08-30,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Active,Production       ,Aerial,MA,Labor,Male,Hispanic,Widowed,Fully Meets,3
3429,2018-12-10,,Active,1991-10-06,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Active,Sales,General - Sga,MA,Assistant,Male,Hispanic,Widowed,Fully Meets,4
3430,2021-06-21,,Active,1998-04-04,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Active,Sales,Finance & Accounting,ND,Clerk,Male,Other,Single,Fully Meets,2
3431,2019-06-29,,Active,1969-08-29,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Active,Sales,General - Con,FL,Laborer,Female,Other,Married,Fully Meets,3
3432,2020-01-17,,Active,1949-04-03,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Active,Sales,Field Operations,CT,Driver,Male,Black,Married,Fully Meets,3
3433,2022-04-06,2023-07-03,453 days 00:00:00,1942-07-01,81,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Sales,General - Eng,CA,Technician,Female,Hispanic,Divorced,Exceeds,4
3434,2020-11-06,2023-01-29,814 days 00:00:00,1957-03-07,65,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Sales,Engineers,OR,Engineer,Female,White,Divorced,Fully Meets,2
3435,2018-08-18,,Active,1974-05-15,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Active,Sales,Executive,TX,Executive Assistant,Male,Black,Widowed,Exceeds,3
3436,2022-01-21,2023-06-29,524 days 00:00:00,1949-11-11,73,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Sales,Engineers,TX,Engineer,Male,Asian,Widowed,Fully Meets,5
3437,2023-08-04,,Active,1964-01-26,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Active,Sales,Field Operations,IN,Technician,Female,Other,Single,Fully Meets,5
3438,2018-08-10,2019-11-04,451 days 00:00:00,1948-04-06,71,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Sales,General - Con,GA,Technician,Female,Asian,Married,Fully Meets,3
3439,2022-05-25,2022-11-27,186 days 00:00:00,1981-11-24,41,Area Sales Manager,Charles Parks,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Sales,Splicing,CO,Splicer,Male,Other,Single,Fully Meets,3
3440,2019-12-05,2023-02-17,1170 days 00:00:00,1951-11-06,71,Area Sales Manager,Gregory Walker,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Sales,Finance & Accounting,KY,Controller,Female,White,Divorced,Fully Meets,3
3441,2019-04-28,,Active,1989-11-21,,Area Sales Manager,Tyler Lewis,BPC,Active,Part-Time,Zone A,Part-Time,Active,Sales,General - Con,NV,Lineman,Male,Asian,Widowed,Exceeds,4
3442,2019-07-09,2022-06-16,1073 days 00:00:00,1952-11-24,69,Area Sales Manager,Ashley Scott,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,IT/IS,Field Operations,MA,Laborer,Male,Black,Single,Exceeds,2
3443,2021-04-05,2023-05-12,767 days 00:00:00,1994-04-08,29,Area Sales Manager,Lauren Jones,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,IT/IS,Project Management - Con,KY,Coordinator,Male,Asian,Widowed,Fully Meets,3
3444,2021-11-28,2022-02-04,68 days 00:00:00,1983-11-15,38,Area Sales Manager,Matthew Jackson,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Sales,Engineers,KY,Director,Male,Other,Widowed,Fully Meets,3
3445,2021-01-16,,Active,1985-12-07,,Area Sales Manager,Michelle Mitchell,PL,Active,Contract,Zone C,Full-Time,Active,Sales,Project Management - Con,KY,Supervisor,Female,Other,Married,Exceeds,4
3446,2021-08-24,,Active,1996-05-01,,Area Sales Manager,Sydney French,BPC,Active,Part-Time,Zone A,Part-Time,Active,Sales,Field Operations,TX,Driller,Female,White,Divorced,Exceeds,2
3447,2020-05-26,2023-06-18,1118 days 00:00:00,1964-02-17,59,Area Sales Manager,Michelle Evans MD,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Sales,General - Con,TX,Technician,Female,Asian,Widowed,Fully Meets,3
3448,2019-10-01,2020-11-06,402 days 00:00:00,1958-05-12,62,Area Sales Manager,Patricia Cook,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,Sales,Engineers,TX,Specialist,Male,Asian,Widowed,Fully Meets,3
